section,division,group,class,subclass,text_of,text
C,10,103,1030,10303,subclass,Radiation preservation of fruit and vegetables
C,10,103,1030,10304,subclass,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder"
C,10,103,1030,10305,subclass,"Manufacture of sauces, jams, jellies and marmalades"
C,10,103,1030,10306,subclass,"Manufacture of pickles, chutney etc."
C,10,103,1030,10307,subclass,Canning of fruits and vegetables
C,10,103,1030,10308,subclass,Manufacture of potato flour & meals and prepared meals of vegetables
C,10,103,1030,10309,subclass,Preservation of fruit and vegetables n.e.c.
C,10,104,,,group,Manufacture of vegetable and animal oils and fats
C,10,104,1040,,class,Manufacture of vegetable and animal oils and fats
C,10,104,1040,10401,subclass,Manufacture of hydrogenated oil and vanaspati ghee
C,10,104,1040,10402,subclass,Manufacture of vegetable oils and fats excluding corn oil
C,10,104,1040,10403,subclass,Manufacture of edible animal oils and fats
C,10,104,1040,10404,subclass,Manufacture of fish oil
C,10,104,1040,10405,subclass,Manufacture of non-edible animal oil and fats
C,10,104,1040,10406,subclass,"Manufacture of oil cakes & meals incl. residual products, e.g. Oleostearin, Palmstearin"
C,10,104,1040,10407,subclass,"Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
C,10,104,1040,10409,subclass,"Manufacture of other vegetable oil, animal oil and fats n.e.c"
C,10,105,,,group,Manufacture of dairy products
C,10,105,1050,,class,Manufacture of dairy products
C,10,105,1050,10501,subclass,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured)
C,10,105,1050,10502,subclass,"Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food"
C,10,105,1050,10503,subclass,Manufacture of baby milk foods
C,10,105,1050,10504,subclass,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc."
C,10,105,1050,10505,subclass,"Manufacture of ice-cream, kulfi etc."
C,10,105,1050,10509,subclass,Manufacture of other dairy products n.e.c.
C,10,106,,,group,"Manufacture of grain mill products, starches and starch products"
C,10,106,1061,,class,Manufacture of grain mill products
C,10,106,1061,10611,subclass,Flour milling
C,10,106,1061,10612,subclass,Rice milling
C,10,106,1061,10613,subclass,Dal (pulses) milling
C,10,106,1061,10614,subclass,"Grain milling other than wheat, rice and dal"
C,10,106,1061,10615,subclass,"Vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts)"
C,10,106,1061,10616,subclass,Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
C,10,106,1061,10617,subclass,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits"
C,10,106,1061,10618,subclass,"Manufacture of other readymade mixed powders like idli, gulabjamun etc."
C,10,106,1061,10619,subclass,Other grain milling and processing n.e.c.
C,10,106,1062,,class,Manufacture of starches and starch products
C,10,106,1062,10621,subclass,"Manufacture of starches from rice, potatoes, maize etc."
C,10,106,1062,10622,subclass,Manufacture of sago and sago products
C,10,106,1062,10623,subclass,"Manufacture of glucose, glucose syrup, maltose etc."
C,10,106,1062,10624,subclass,Manufacture of gluten
C,10,106,1062,10625,subclass,Manufacture of tapioca and tapioca substitutes prepared from starch
C,10,106,1062,10626,subclass,Manufacture of corn oil
C,10,106,1062,10629,subclass,Manufacture of other starch products n.e.c.
C,10,107,,,group,Manufacture of other food products
C,10,107,1071,,class,Manufacture of bakery products
C,10,107,1071,10711,subclass,Manufacture of bread
C,10,107,1071,10712,subclass,"Manufacture of biscuits, cakes, pastries, rusks etc."
C,10,107,1071,10719,subclass,Manufacture of other bakery products n.e.c.
C,10,107,1072,,class,Manufacture of sugar
C,10,107,1072,10721,subclass,Manufacture or refining of sugar (sucrose) from sugercane
